Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH3
1.29501930e-02,0.0600001,0.03
1.29501940e-02,0.0600001,0.01
1.29501950e-02,0.0600001,0.01
1.29501960e-02,0.0600001,0.01
1.29501970e-02,0.0600001,0.01
1.29501980e-02,0.0600001,0.01
1.29501990e-02,0.0600001,0.01
1.29502000e-02,0.0600001,-0.00999996
1.29502010e-02,0.0600001,0.01
1.29502020e-02,0.0600001,0.03
1.29502030e-02,0.0600001,0.03
1.29502040e-02,0.0600001,0.01
1.29502050e-02,0.0400001,0.01
1.29502060e-02,0.0400001,0.01
1.29502070e-02,0.0600001,0.01
1.29502080e-02,0.0600001,0.01
1.29502090e-02,0.0600001,0.03
1.29502100e-02,0.0400001,0.03
1.29502110e-02,0.0600001,0.01
1.29502120e-02,0.0600001,0.03
1.29502130e-02,0.0600001,0.05
1.29502140e-02,0.0600001,0.03
1.29502150e-02,0.0600001,0.03
1.29502160e-02,0.0800001,0.01
1.29502170e-02,0.0600001,0.01
1.29502180e-02,0.0600001,0.01
1.29502190e-02,0.0800001,0.01
1.29502200e-02,0.0800001,0.03
1.29502210e-02,0.0600001,0.03
1.29502220e-02,0.0600001,0.03
1.29502230e-02,0.0600001,0.03
1.29502240e-02,0.0600001,0.01
1.29502250e-02,0.0600001,0.01
1.29502260e-02,0.0600001,0.01
1.29502270e-02,0.0400001,0.01
1.29502280e-02,0.0600001,0.01
1.29502290e-02,0.0600001,0.01
1.29502300e-02,0.0600001,-0.00999996
1.29502310e-02,0.0400001,0.03
1.29502320e-02,0.0400001,0.03
1.29502330e-02,0.0600001,0.01
1.29502340e-02,0.0600001,0.01
1.29502350e-02,0.0400001,0.03
1.29502360e-02,0.0600001,0.01
1.29502370e-02,0.0600001,0.03
1.29502380e-02,0.0600001,0.01
1.29502390e-02,0.0600001,0.03
1.29502400e-02,0.0600001,0.03
1.29502410e-02,0.0600001,0.03
1.29502420e-02,0.0600001,0.03
1.29502430e-02,0.0600001,0.03
1.29502440e-02,0.0600001,0.03
1.29502450e-02,0.0600001,0.03
1.29502460e-02,0.0800001,0.03
1.29502470e-02,0.0600001,0.03
1.29502480e-02,0.0600001,0.01
1.29502490e-02,0.0600001,0.01
1.29502500e-02,0.0600001,-0.00999996
1.29502510e-02,0.0400001,0.01
1.29502520e-02,0.0400001,0.01
1.29502530e-02,0.0400001,0.03
1.29502540e-02,0.0600001,0.01
1.29502550e-02,0.0600001,0.01
1.29502560e-02,0.0600001,0.03
1.29502570e-02,0.0600001,0.03
1.29502580e-02,0.0600001,0.03
1.29502590e-02,0.0600001,0.01
1.29502600e-02,0.0800001,0.01
1.29502610e-02,0.0800001,0.01
1.29502620e-02,0.0800001,0.01
1.29502630e-02,0.0600001,0.01
1.29502640e-02,0.0600001,-0.00999996
1.29502650e-02,0.0600001,-0.00999996
1.29502660e-02,0.0600001,-0.00999996
1.29502670e-02,0.0600001,0.01
1.29502680e-02,0.0400001,0.01
1.29502690e-02,0.0400001,0.01
1.29502700e-02,0.0600001,0.01
1.29502710e-02,0.0600001,0.03
1.29502720e-02,0.0600001,0.01
1.29502730e-02,0.0600001,0.03
1.29502740e-02,0.0600001,0.01
1.29502750e-02,0.0600001,0.03
1.29502760e-02,0.0600001,0.03
1.29502770e-02,0.0600001,0.03
1.29502780e-02,0.0400001,0.03
1.29502790e-02,0.0600001,0.03
1.29502800e-02,0.0600001,0.01
1.29502810e-02,0.0600001,0.01
1.29502820e-02,0.0800001,0.01
1.29502830e-02,0.0800001,0.03
1.29502840e-02,0.0800001,0.03
1.29502850e-02,0.0800001,0.03
1.29502860e-02,0.0800001,0.03
1.29502870e-02,0.0600001,0.03
1.29502880e-02,0.0600001,0.01
1.29502890e-02,0.0600001,0.01
1.29502900e-02,0.0600001,0.01
1.29502910e-02,0.0400001,0.01
1.29502920e-02,0.0600001,0.01
1.29502930e-02,0.0600001,0.01
1.29502940e-02,0.0600001,0.01
1.29502950e-02,0.0400001,0.01
1.29502960e-02,0.0600001,0.01
1.29502970e-02,0.0600001,0.03
1.29502980e-02,0.0600001,0.03
1.29502990e-02,0.0600001,0.03
1.29503000e-02,0.0600001,0.03
1.29503010e-02,0.0400001,0.03
1.29503020e-02,0.0600001,0.03
1.29503030e-02,0.0400001,0.03
1.29503040e-02,0.0400001,0.01
1.29503050e-02,0.0600001,0.01
1.29503060e-02,0.0800001,0.01
1.29503070e-02,0.0600001,0.01
1.29503080e-02,0.0600001,0.01
1.29503090e-02,0.0600001,0.01
1.29503100e-02,0.0600001,0.01
