Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
9.5038900e-04,0,0.01
9.5039000e-04,0.02,0.01
9.5039100e-04,0,0.01
9.5039200e-04,0,0.01
9.5039300e-04,0,0.01
9.5039400e-04,0,0.01
9.5039500e-04,0,0.01
9.5039600e-04,0,0.01
9.5039700e-04,0,0.01
9.5039800e-04,0,0.01
9.5039900e-04,0,0.01
9.5040000e-04,0,0.03
9.5040100e-04,0,0.03
9.5040200e-04,0.02,0.03
9.5040300e-04,0,0.03
9.5040400e-04,0.02,0.01
9.5040500e-04,0.02,0.01
9.5040600e-04,0.02,0.01
9.5040700e-04,0,0.01
9.5040800e-04,0,-0.01
9.5040900e-04,0,-0.01
9.5041000e-04,0,0.01
9.5041100e-04,0,0.01
9.5041200e-04,0,0.01
9.5041300e-04,0,0.01
9.5041400e-04,0,0.01
9.5041500e-04,0,0.03
9.5041600e-04,0,0.03
9.5041700e-04,0.02,0.03
9.5041800e-04,0,0.03
9.5041900e-04,0,0.03
9.5042000e-04,0,0.03
9.5042100e-04,0.02,0.03
9.5042200e-04,0,0.01
9.5042300e-04,0,0.01
9.5042400e-04,0.02,-0.01
9.5042500e-04,0,0.01
9.5042600e-04,0,-0.01
9.5042700e-04,0,0.01
9.5042800e-04,0,0.01
9.5042900e-04,0,0.01
9.5043000e-04,0.02,0.01
9.5043100e-04,0.02,0.01
9.5043200e-04,0.02,0.01
9.5043300e-04,0.02,0.01
9.5043400e-04,0.02,0.01
9.5043500e-04,0,0.01
9.5043600e-04,0,0.01
9.5043700e-04,0,0.03
9.5043800e-04,0,0.03
9.5043900e-04,0,0.03
9.5044000e-04,0,0.01
9.5044100e-04,0.02,0.01
9.5044200e-04,0,0.01
9.5044300e-04,-0.02,0.01
9.5044400e-04,0,0.01
9.5044500e-04,0.02,0.03
9.5044600e-04,0,0.01
9.5044700e-04,-0.02,0.03
9.5044800e-04,-0.02,0.01
9.5044900e-04,-0.02,0.01
9.5045000e-04,0,0.01
9.5045100e-04,0,0.01
9.5045200e-04,0,0.01
9.5045300e-04,0,0.03
9.5045400e-04,0,0.01
9.5045500e-04,0,0.03
9.5045600e-04,0,0.03
9.5045700e-04,0,0.01
9.5045800e-04,0,0.01
9.5045900e-04,0,0.01
9.5046000e-04,0,0.01
9.5046100e-04,0.02,0.01
9.5046200e-04,0.02,0.01
9.5046300e-04,0.02,0.03
9.5046400e-04,0,0.03
9.5046500e-04,0,0.01
9.5046600e-04,0,0.01
9.5046700e-04,0.02,0.03
9.5046800e-04,0,-0.01
9.5046900e-04,0,0.01
9.5047000e-04,-0.02,0.01
9.5047100e-04,0,0.01
9.5047200e-04,0,0.01
9.5047300e-04,0,0.01
9.5047400e-04,0,0.01
9.5047500e-04,0,0.01
9.5047600e-04,0,0.01
9.5047700e-04,0,0.03
9.5047800e-04,0,0.01
9.5047900e-04,0,0.03
9.5048000e-04,0,0.03
9.5048100e-04,0,0.03
9.5048200e-04,0,0.03
9.5048300e-04,0,0.03
9.5048400e-04,0,0.01
9.5048500e-04,0,0.01
9.5048600e-04,0,0.01
9.5048700e-04,0,0.03
9.5048800e-04,0,0.01
9.5048900e-04,0,0.01
9.5049000e-04,0,0.01
9.5049100e-04,0,0.01
9.5049200e-04,0,0.01
9.5049300e-04,0,0.01
9.5049400e-04,0,0.01
9.5049500e-04,0,0.03
9.5049600e-04,0,0.03
9.5049700e-04,0,0.03
9.5049800e-04,0,0.01
9.5049900e-04,0,0.01
9.5050000e-04,0,0.01
9.5050100e-04,0,0.01
9.5050200e-04,0,0.01
9.5050300e-04,0,0.01
9.5050400e-04,0,0.01
9.5050500e-04,0,0.01
9.5050600e-04,0,0.01
9.5050700e-04,0,-0.01
9.5050800e-04,0,0.01
9.5050900e-04,0,0.01
9.5051000e-04,0,0.01
9.5051100e-04,0,0.01
9.5051200e-04,0.02,0.01
9.5051300e-04,0,0.01
9.5051400e-04,0.02,0.01
9.5051500e-04,0,0.01
9.5051600e-04,0,-0.01
9.5051700e-04,0,-0.01
9.5051800e-04,0,0.01
9.5051900e-04,0,0.01
9.5052000e-04,0,0.01
9.5052100e-04,-0.02,0.01
9.5052200e-04,0,0.03
9.5052300e-04,0,0.03
9.5052400e-04,0,0.03
9.5052500e-04,0,0.03
9.5052600e-04,0.02,0.01
9.5052700e-04,0.02,0.01
9.5052800e-04,0,0.03
9.5052900e-04,0,0.01
9.5053000e-04,0,-0.01
9.5053100e-04,0,0.01
9.5053200e-04,0.02,0.01
9.5053300e-04,0,0.03
9.5053400e-04,0.02,0.01
9.5053500e-04,0.02,0.03
9.5053600e-04,0.02,0.01
9.5053700e-04,0.02,0.03
9.5053800e-04,0.02,0.01
9.5053900e-04,0.02,0.03
9.5054000e-04,0.02,0.01
9.5054100e-04,0,0.03
9.5054200e-04,0,0.01
9.5054300e-04,0,0.01
9.5054400e-04,0,0.01
9.5054500e-04,0,0.01
9.5054600e-04,0,0.01
9.5054700e-04,0.02,0.03
9.5054800e-04,0,0.03
9.5054900e-04,0,0.03
9.5055000e-04,0,0.01
9.5055100e-04,0,0.03
9.5055200e-04,0.02,0.01
9.5055300e-04,0,0.01
9.5055400e-04,0,-0.01
9.5055500e-04,0,-0.01
9.5055600e-04,0,-0.01
9.5055700e-04,0,-0.01
9.5055800e-04,0.02,-0.01
9.5055900e-04,0,0.03
9.5056000e-04,0,0.03
9.5056100e-04,0.02,0.03
9.5056200e-04,0.02,0.03
9.5056300e-04,0.02,0.03
9.5056400e-04,0.02,0.01
9.5056500e-04,0,0.03
9.5056600e-04,0.02,0.01
9.5056700e-04,0.02,0.01
9.5056800e-04,0,0.01
9.5056900e-04,0.02,0.03
9.5057000e-04,0,0.01
9.5057100e-04,0,0.03
9.5057200e-04,0.02,-0.01
9.5057300e-04,0.02,-0.01
9.5057400e-04,0.02,-0.01
9.5057500e-04,0.02,-0.01
9.5057600e-04,0,0.01
9.5057700e-04,0.02,0.03
9.5057800e-04,0.02,0.01
9.5057900e-04,0.02,0.01
9.5058000e-04,0.02,0.01
9.5058100e-04,0.02,0.03
9.5058200e-04,0,0.01
9.5058300e-04,0.02,0.01
9.5058400e-04,0.02,0.01
9.5058500e-04,0,-0.01
9.5058600e-04,0,0.01
9.5058700e-04,0,0.01
9.5058800e-04,0,0.03
9.5058900e-04,0,0.03
9.5059000e-04,0,0.03
9.5059100e-04,0,0.01
9.5059200e-04,0.02,-0.01
9.5059300e-04,0,0.01
9.5059400e-04,0.02,0.01
9.5059500e-04,0.02,0.01
9.5059600e-04,0.02,0.01
9.5059700e-04,0,0.01
9.5059800e-04,0,0.01
9.5059900e-04,0,0.03
9.5060000e-04,0,0.03
9.5060100e-04,0,0.03
9.5060200e-04,0,0.01
9.5060300e-04,0,0.01
9.5060400e-04,0.02,0.01
9.5060500e-04,0.02,0.01
9.5060600e-04,0.02,0.03
9.5060700e-04,0.02,0.03
9.5060800e-04,0,0.01
9.5060900e-04,0,0.01
9.5061000e-04,0,0.01
9.5061100e-04,0,0.01
9.5061200e-04,0,0.01
9.5061300e-04,0.02,0.01
9.5061400e-04,0.02,0.01
9.5061500e-04,0.02,0.03
9.5061600e-04,0.02,0.01
9.5061700e-04,0,0.01
9.5061800e-04,0,0.03
9.5061900e-04,0,0.03
9.5062000e-04,0,0.03
9.5062100e-04,0,0.03
9.5062200e-04,-0.02,0.03
9.5062300e-04,-0.02,0.03
9.5062400e-04,0,0.01
9.5062500e-04,0,0.03
9.5062600e-04,0,0.03
9.5062700e-04,0,0.03
9.5062800e-04,0,0.01
9.5062900e-04,0,0.03
9.5063000e-04,0,0.01
9.5063100e-04,0.02,0.01
9.5063200e-04,0,0.01
9.5063300e-04,0.02,0.03
9.5063400e-04,0,0.01
9.5063500e-04,0,-0.01
9.5063600e-04,0,-0.01
9.5063700e-04,0.02,0.01
9.5063800e-04,0,0.01
9.5063900e-04,0,0.01
9.5064000e-04,0,0.03
9.5064100e-04,0,0.01
9.5064200e-04,0,0.01
9.5064300e-04,0,0.01
9.5064400e-04,0,0.01
9.5064500e-04,0.02,0.01
9.5064600e-04,0.02,0.01
9.5064700e-04,0,-0.01
9.5064800e-04,-0.02,0.01
9.5064900e-04,0,0.01
9.5065000e-04,0,0.01
9.5065100e-04,0,0.01
9.5065200e-04,0.02,0.01
9.5065300e-04,0,0.01
9.5065400e-04,0,0.03
9.5065500e-04,0,0.03
9.5065600e-04,0.02,0.03
9.5065700e-04,0.02,0.01
9.5065800e-04,0,0.01
9.5065900e-04,0,0.01
9.5066000e-04,0.02,0.01
9.5066100e-04,0.02,0.01
9.5066200e-04,0.02,0.01
9.5066300e-04,0.02,0.01
9.5066400e-04,0.02,0.01
9.5066500e-04,0,0.01
9.5066600e-04,0,0.01
9.5066700e-04,0,0.03
9.5066800e-04,0.02,0.01
9.5066900e-04,0,0.01
9.5067000e-04,0.02,0.01
9.5067100e-04,0.02,0.01
9.5067200e-04,0.02,-0.01
9.5067300e-04,0.02,0.01
9.5067400e-04,0.02,0.01
9.5067500e-04,0.02,0.01
9.5067600e-04,0.02,0.01
9.5067700e-04,0.02,0.01
9.5067800e-04,0.02,0.01
9.5067900e-04,0.02,-0.01
9.5068000e-04,0.02,-0.01
9.5068100e-04,0,-0.01
9.5068200e-04,0,0.01
9.5068300e-04,0,0.01
9.5068400e-04,0,0.01
9.5068500e-04,0,0.01
9.5068600e-04,0.02,0.01
9.5068700e-04,0,0.03
9.5068800e-04,0.02,0.03
9.5068900e-04,0.02,0.01
9.5069000e-04,0,0.01
9.5069100e-04,0,0.03
9.5069200e-04,0.02,0.01
9.5069300e-04,0.02,0.03
9.5069400e-04,0.02,0.03
9.5069500e-04,0.02,0.03
9.5069600e-04,0.02,0.03
9.5069700e-04,0.02,0.01
9.5069800e-04,0.02,0.01
9.5069900e-04,0.02,0.01
9.5070000e-04,0.02,0.01
9.5070100e-04,0,0.03
9.5070200e-04,0.02,0.03
9.5070300e-04,0,0.03
9.5070400e-04,0.02,0.03
9.5070500e-04,0.02,0.03
9.5070600e-04,0.02,0.01
9.5070700e-04,0,0.03
9.5070800e-04,0,0.01
9.5070900e-04,0,-0.01
9.5071000e-04,0,0.01
9.5071100e-04,0,0.01
9.5071200e-04,0,0.01
9.5071300e-04,0,0.01
9.5071400e-04,0,0.01
9.5071500e-04,0.02,0.01
9.5071600e-04,0.02,0.01
9.5071700e-04,0.02,0.01
9.5071800e-04,0,0.01
9.5071900e-04,0,0.01
9.5072000e-04,0,0.01
9.5072100e-04,0.02,0.01
9.5072200e-04,0.02,0.01
9.5072300e-04,0.02,0.01
9.5072400e-04,0.02,0.01
9.5072500e-04,0.02,0.03
9.5072600e-04,0,0.03
9.5072700e-04,0,0.03
9.5072800e-04,0.02,0.01
9.5072900e-04,0.02,0.01
9.5073000e-04,0.02,0.01
9.5073100e-04,0.02,0.03
9.5073200e-04,0.02,0.01
9.5073300e-04,0.02,-0.01
9.5073400e-04,0.02,0.01
9.5073500e-04,0,0.01
9.5073600e-04,0.02,0.01
9.5073700e-04,0.02,-0.01
9.5073800e-04,0.02,-0.01
9.5073900e-04,0.02,0.03
9.5074000e-04,0,0.03
9.5074100e-04,0,0.03
9.5074200e-04,0,0.01
9.5074300e-04,0,0.03
9.5074400e-04,0,0.03
9.5074500e-04,0,0.01
9.5074600e-04,0,0.01
9.5074700e-04,0,0.01
9.5074800e-04,0,-0.01
9.5074900e-04,0,0.01
9.5075000e-04,0,0.03
9.5075100e-04,0,0.03
9.5075200e-04,0,0.03
9.5075300e-04,0.02,0.03
9.5075400e-04,0.02,0.01
9.5075500e-04,0.02,0.01
9.5075600e-04,0,0.01
9.5075700e-04,0.02,0.03
9.5075800e-04,0,0.01
9.5075900e-04,0.02,0.01
9.5076000e-04,0,0.01
9.5076100e-04,0.02,0.03
9.5076200e-04,0,0.03
9.5076300e-04,0,0.01
9.5076400e-04,0,0.01
9.5076500e-04,0,0.01
9.5076600e-04,0.02,0.01
9.5076700e-04,0,0.01
9.5076800e-04,0,0.01
9.5076900e-04,0.02,0.03
9.5077000e-04,0,0.05
9.5077100e-04,0.02,0.03
9.5077200e-04,0.02,0.01
9.5077300e-04,0.02,0.01
9.5077400e-04,0.02,0.01
9.5077500e-04,0.02,0.01
9.5077600e-04,0.02,0.01
9.5077700e-04,0.02,0.01
9.5077800e-04,0.02,0.01
9.5077900e-04,0,0.01
9.5078000e-04,0.02,0.01
9.5078100e-04,0.02,0.01
9.5078200e-04,0,0.01
9.5078300e-04,0,0.03
9.5078400e-04,0,0.01
9.5078500e-04,0,0.01
9.5078600e-04,0,0.01
9.5078700e-04,0,0.03
9.5078800e-04,0,0.01
9.5078900e-04,0,-0.01
9.5079000e-04,0,0.01
9.5079100e-04,0,0.03
9.5079200e-04,0,0.03
9.5079300e-04,0,0.03
9.5079400e-04,0,0.01
9.5079500e-04,0,0.01
9.5079600e-04,0,0.01
9.5079700e-04,0,0.01
9.5079800e-04,0,0.01
9.5079900e-04,0,0.01
9.5080000e-04,0,-0.01
9.5080100e-04,0,0.01
9.5080200e-04,0,0.01
9.5080300e-04,0,0.01
9.5080400e-04,0,0.01
9.5080500e-04,0,0.01
9.5080600e-04,0,0.01
9.5080700e-04,0,-0.01
9.5080800e-04,0,0.01
9.5080900e-04,0,-0.01
9.5081000e-04,0,-0.01
9.5081100e-04,0.02,0.01
9.5081200e-04,0.02,0.01
9.5081300e-04,0.02,0.03
9.5081400e-04,0,0.03
9.5081500e-04,0,0.03
9.5081600e-04,0,0.03
9.5081700e-04,0,0.01
9.5081800e-04,0,0.01
9.5081900e-04,0,0.03
9.5082000e-04,-0.02,0.03
9.5082100e-04,0,0.01
9.5082200e-04,0,0.01
9.5082300e-04,0,0.01
9.5082400e-04,0,0.01
9.5082500e-04,0,0.01
9.5082600e-04,0,0.01
9.5082700e-04,0,0.03
9.5082800e-04,0,0.01
9.5082900e-04,0,0.01
9.5083000e-04,0,-0.01
9.5083100e-04,0,-0.01
9.5083200e-04,0,0.01
9.5083300e-04,0,0.01
9.5083400e-04,0,0.01
9.5083500e-04,0,0.01
9.5083600e-04,-0.02,0.01
9.5083700e-04,0,0.01
9.5083800e-04,0.02,0.01
9.5083900e-04,0,0.01
9.5084000e-04,0.02,0.01
9.5084100e-04,0,0.01
9.5084200e-04,0,0.01
9.5084300e-04,0,0.01
9.5084400e-04,0,0.01
9.5084500e-04,0,0.01
9.5084600e-04,0,0.01
9.5084700e-04,0,0.03
9.5084800e-04,0,0.03
9.5084900e-04,-0.02,0.01
9.5085000e-04,-0.02,0.03
9.5085100e-04,0,0.01
9.5085200e-04,0,0.01
9.5085300e-04,0,0.01
9.5085400e-04,0,-0.01
9.5085500e-04,0,0.01
9.5085600e-04,0,0.01
9.5085700e-04,0,0.01
9.5085800e-04,0,0.01
9.5085900e-04,0,0.01
9.5086000e-04,0.02,0.01
9.5086100e-04,0,0.01
9.5086200e-04,0,0.03
9.5086300e-04,0,0.01
9.5086400e-04,0,0.01
9.5086500e-04,0.02,0.01
9.5086600e-04,0.02,0.01
9.5086700e-04,0.02,0.01
9.5086800e-04,0,0.01
9.5086900e-04,0,0.03
9.5087000e-04,0.02,0.01
9.5087100e-04,0,0.03
9.5087200e-04,0.02,0.01
9.5087300e-04,0.02,0.01
9.5087400e-04,0.02,0.01
9.5087500e-04,0,0.01
9.5087600e-04,0,0.03
9.5087700e-04,0,0.03
9.5087800e-04,0.02,0.01
9.5087900e-04,0.02,0.01
9.5088000e-04,0.02,-0.01
9.5088100e-04,0.02,-0.01
9.5088200e-04,0,0.01
9.5088300e-04,0,0.03
9.5088400e-04,0.02,0.01
9.5088500e-04,0,0.01
9.5088600e-04,0.02,0.01
9.5088700e-04,0,0.03
9.5088800e-04,0.02,0.03
9.5088900e-04,0,0.03
9.5089000e-04,0.02,0.01
9.5089100e-04,0.02,0.01
9.5089200e-04,0.02,0.03
9.5089300e-04,0,0.01
9.5089400e-04,0,-0.01
9.5089500e-04,0,0.01
9.5089600e-04,0,-0.01
9.5089700e-04,0,0.01
9.5089800e-04,0,0.01
9.5089900e-04,0,0.03
9.5090000e-04,0.02,0.03
9.5090100e-04,0.02,0.03
9.5090200e-04,0.02,0.01
9.5090300e-04,0.02,0.01
9.5090400e-04,0,0.01
9.5090500e-04,0,0.01
9.5090600e-04,0,-0.01
9.5090700e-04,0,0.01
9.5090800e-04,0,0.01
9.5090900e-04,0,0.01
9.5091000e-04,0.02,0.01
9.5091100e-04,0,0.01
9.5091200e-04,0.02,-0.01
9.5091300e-04,0.02,0.01
9.5091400e-04,0.02,0.01
9.5091500e-04,0,0.01
9.5091600e-04,0.02,0.01
9.5091700e-04,0,-0.01
9.5091800e-04,0,0.01
9.5091900e-04,0,0.01
9.5092000e-04,0,0.01
9.5092100e-04,0.02,-0.01
9.5092200e-04,0,-0.01
9.5092300e-04,0,0.01
9.5092400e-04,0,0.01
9.5092500e-04,0,0.01
9.5092600e-04,0,0.01
9.5092700e-04,0,0.03
9.5092800e-04,0.02,0.03
9.5092900e-04,0,0.03
9.5093000e-04,0,0.03
9.5093100e-04,0,0.03
9.5093200e-04,0,0.03
9.5093300e-04,0,0.01
9.5093400e-04,0,0.01
9.5093500e-04,0.02,0.01
9.5093600e-04,0,0.01
9.5093700e-04,0,0.01
9.5093800e-04,0,0.01
9.5093900e-04,0,0.01
9.5094000e-04,-0.02,0.01
9.5094100e-04,0,0.03
9.5094200e-04,0,0.03
9.5094300e-04,0,0.03
9.5094400e-04,0,0.01
9.5094500e-04,0,0.01
9.5094600e-04,0,0.01
9.5094700e-04,0,0.01
9.5094800e-04,0.02,0.01
9.5094900e-04,0.02,0.01
9.5095000e-04,0.02,0.01
9.5095100e-04,0,0.01
9.5095200e-04,0.02,0.01
9.5095300e-04,0,0.01
9.5095400e-04,-0.02,0.01
9.5095500e-04,-0.02,0.01
9.5095600e-04,-0.02,0.03
9.5095700e-04,0,0.01
9.5095800e-04,0,0.03
9.5095900e-04,0,0.01
9.5096000e-04,0,0.01
9.5096100e-04,0,-0.01
9.5096200e-04,0.02,-0.01
9.5096300e-04,0.02,0.01
9.5096400e-04,0.02,0.01
9.5096500e-04,0.02,0.03
9.5096600e-04,0.02,0.01
9.5096700e-04,0,0.01
9.5096800e-04,0,0.01
9.5096900e-04,0,0.01
9.5097000e-04,0,0.01
9.5097100e-04,0,0.01
9.5097200e-04,0.02,0.01
9.5097300e-04,0,0.01
9.5097400e-04,0,0.01
