Time (s),Signal strength,Bx (µT),By (µT),Bz (µT),Voltage (mV)
0.009999999776482582,42,-54.884605407714844,-65.2448959350586,-85.79296875,-0.011713559739291668
0.019999999552965164,42,-54.88813018798828,-65.243408203125,-85.83516693115234,-0.011736506596207619
0.029999999329447746,42,-54.892398834228516,-65.26363372802734,-85.8862533569336,-0.011721664108335972
0.03999999910593033,42,-54.89623260498047,-65.30170440673828,-85.93213653564453,-0.01170859020203352
0.05000000074505806,43,-54.899314880371094,-65.33283233642578,-85.9735107421875,-0.011697053909301758
0.05999999865889549,44,-54.89692306518555,-65.31658172607422,-86.01032257080078,-0.011686797253787518
0.07000000029802322,43,-54.90338134765625,-65.31005096435547,-86.00462341308594,-0.011677620932459831
0.07999999821186066,43,-54.89043045043945,-65.30011749267578,-86.030029296875,-0.011669360101222992
0.09000000357627869,44,-54.86452865600586,-65.28717803955078,-86.07955932617188,-0.011661886237561703
0.10000000149011612,44,-54.84487533569336,-65.27870178222656,-86.12342071533203,-0.011655090376734734
0.10999999940395355,44,-54.853946685791016,-65.29300689697266,-86.15193176269531,-0.011671338230371475
0.11999999731779099,43,-54.862274169921875,-65.29161834716797,-86.18194580078125,-0.011686505749821663
0.12999999523162842,42,-54.8510627746582,-65.2990493774414,-86.1694107055664,-0.011679856106638908
0.14000000059604645,41,-54.83106994628906,-65.31116485595703,-86.13716888427734,-0.011679748073220253
0.15000000596046448,40,-54.81464767456055,-65.31815338134766,-86.10775756835938,-0.011679749935865402
0.1599999964237213,39,-54.80830001831055,-65.30754089355469,-86.08326721191406,-0.011679748073220253
0.17000000178813934,37,-54.77920913696289,-65.33131408691406,-86.06440734863281,-0.011659244075417519
0.18000000715255737,36,-54.76596450805664,-65.3456039428711,-86.02908325195312,-0.011638338677585125
0.1899999976158142,36,-54.77359390258789,-65.34725189208984,-85.98980712890625,-0.011637885123491287
0.20000000298023224,36,-54.786739349365234,-65.34502410888672,-85.97184753417969,-0.011617456562817097
0.20999999344348907,37,-54.77619934082031,-65.35548400878906,-86.0033950805664,-0.011616954579949379
0.2199999988079071,37,-54.779911041259766,-65.36255645751953,-85.98468017578125,-0.011596574448049068
0.23000000417232513,35,-54.762603759765625,-65.3639144897461,-85.99620056152344,-0.011596023105084896
0.23999999463558197,37,-54.742435455322266,-65.37203979492188,-86.0342788696289,-0.011596023105084896
0.25,36,-54.7302131652832,-65.38497161865234,-86.06234741210938,-0.01157571841031313
0.25999999046325684,33,-54.72655487060547,-65.39171600341797,-86.04405212402344,-0.011575091630220413
0.27000001072883606,37,-54.6931037902832,-65.36697387695312,-86.0290756225586,-0.011554837226867676
0.2800000011920929,35,-54.6466178894043,-65.3701171875,-86.03706359863281,-0.011533929966390133
0.28999999165534973,34,-54.598297119140625,-65.37718200683594,-86.03142547607422,-0.011513023637235165
0.30000001192092896,31,-54.55150604248047,-65.37263488769531,-86.03336334228516,-0.011492116376757622
0.3100000023841858,29,-54.51087188720703,-65.35205078125,-86.05223846435547,-0.011491365730762482
0.3199999928474426,26,-54.48857116699219,-65.33438110351562,-86.03726959228516,-0.011491365730762482
0.33000001311302185,21,-54.480323791503906,-65.33674621582031,-85.9692611694336,-0.011491366662085056
0.3400000035762787,20,-54.46759796142578,-65.31510925292969,-85.86883544921875,-0.011491366662085056
0.3499999940395355,26,-54.45806884765625,-65.29175567626953,-85.78345489501953,-0.011491366662085056
0.36000001430511475,30,-54.4506950378418,-65.28457641601562,-85.72824096679688,-0.011471336707472801
0.3700000047683716,32,-54.43206024169922,-65.29839324951172,-85.67609405517578,-0.011450430378317833
0.3799999952316284,34,-54.409759521484375,-65.28778076171875,-85.64241027832031,-0.011449502781033516
0.38999998569488525,36,-54.4135627746582,-65.2882080078125,-85.57659912109375,-0.011449502781033516
0.4000000059604645,37,-54.4206428527832,-65.291748046875,-85.51404571533203,-0.011449502781033516
0.4099999964237213,38,-54.42319107055664,-65.28193664550781,-85.45223236083984,-0.011449502781033516
0.41999998688697815,37,-54.42137145996094,-65.24479675292969,-85.37173461914062,-0.011449502781033516
0.4300000071525574,37,-54.399070739746094,-65.22711944580078,-85.31185150146484,-0.011429648846387863
0.4399999976158142,40,-54.40200424194336,-65.21244812011719,-85.3377456665039,-0.011428570374846458
0.44999998807907104,38,-54.41401290893555,-65.20266723632812,-85.3235855102539,-0.011428570374846458
0.46000000834465027,41,-54.41748809814453,-65.19153594970703,-85.30073547363281,-0.011408793739974499
0.4699999988079071,39,-54.40987777709961,-65.17174530029297,-85.32450866699219,-0.01138788741081953
0.47999998927116394,42,-54.443328857421875,-65.13993072509766,-85.37689971923828,-0.011386708356440067
0.49000000953674316,42,-54.48019027709961,-65.13080596923828,-85.38124084472656,-0.011386708356440067
0.5,42,-54.49446105957031,-65.11405944824219,-85.399169921875,-0.011386709287762642
0.5099999904632568,42,-54.50824737548828,-65.09603881835938,-85.41353607177734,-0.011386709287762642
0.5199999809265137,42,-54.531829833984375,-65.08190155029297,-85.42662811279297,-0.011367080733180046
0.5299999713897705,42,-54.54669952392578,-65.0677490234375,-85.48649597167969,-0.011385379359126091
0.5400000214576721,42,-54.56889724731445,-65.07103729248047,-85.46153259277344,-0.01140628568828106
0.550000011920929,42,-54.588401794433594,-65.07989501953125,-85.43534088134766,-0.011427192948758602
0.5600000023841858,41,-54.608917236328125,-65.08314514160156,-85.45974731445312,-0.011428572237491608
0.5699999928474426,41,-54.641883850097656,-65.09178924560547,-85.52439880371094,-0.011448073200881481
0.5799999833106995,40,-54.70155715942383,-65.12779998779297,-85.5710220336914,-0.011430025100708008
0.5899999737739563,40,-54.76474380493164,-65.11365509033203,-85.58226013183594,-0.011428570374846458
0.6000000238418579,40,-54.82792663574219,-65.09952545166016,-85.59349060058594,-0.011409143917262554
0.6100000143051147,39,-54.899864196777344,-65.1041030883789,-85.60912322998047,-0.01140763983130455
0.6200000047683716,38,-54.980560302734375,-65.11801147460938,-85.64779663085938,-0.0113882627338171
0.6299999952316284,38,-55.062400817871094,-65.12464904785156,-85.726318359375,-0.011386708356440067
0.6399999856948853,37,-55.11815643310547,-65.12818908691406,-85.83110046386719,-0.011386708356440067
0.6499999761581421,37,-55.18052673339844,-65.14744567871094,-85.9758529663086,-0.011386709287762642
0.6600000262260437,37,-55.23394775390625,-65.15705108642578,-86.08621978759766,-0.011386709287762642
0.6700000166893005,36,-55.30274963378906,-65.15908813476562,-86.19508361816406,-0.011386709287762642
0.6800000071525574,37,-55.399383544921875,-65.16719055175781,-86.3233871459961,-0.01140593457967043
0.6899999976158142,36,-55.49602127075195,-65.20960998535156,-86.4244384765625,-0.01140763983130455
0.699999988079071,36,-55.60689926147461,-65.24864196777344,-86.518310546875,-0.01140763983130455
0.7099999785423279,36,-55.73188400268555,-65.28495788574219,-86.5928726196289,-0.011426791548728943
0.7200000286102295,36,-55.863800048828125,-65.33597564697266,-86.70630645751953,-0.011447697877883911
0.7300000190734863,35,-56.00724411010742,-65.40130615234375,-86.86334991455078,-0.01144950371235609
0.7400000095367432,35,-56.178810119628906,-65.4612045288086,-87.00821685791016,-0.01144950371235609
0.75,35,-56.3720817565918,-65.51422882080078,-87.11300659179688,-0.01144950371235609
0.7599999904632568,35,-56.58600616455078,-65.56725311279297,-87.3158187866211,-0.01144950371235609
0.7699999809265137,35,-56.82405471801758,-65.64802551269531,-87.4979476928711,-0.011487503536045551
0.7799999713897705,34,-57.07923889160156,-65.75054168701172,-87.63899993896484,-0.011491365730762482
0.7900000214576721,34,-57.34330368041992,-65.85171508789062,-87.77495574951172,-0.011491365730762482
0.800000011920929,34,-57.64436721801758,-65.94007873535156,-87.95832824707031,-0.011491365730762482
0.8100000023841858,34,-57.990291595458984,-66.06502532958984,-88.1481704711914,-0.011491365730762482
0.8199999928474426,34,-58.378475189208984,-66.18692779541016,-88.3837890625,-0.01147249061614275
0.8299999833106995,34,-58.791748046875,-66.30918884277344,-88.62648010253906,-0.011508133262395859
0.8399999737739563,34,-59.21842956542969,-66.44402313232422,-88.8575439453125,-0.011531120166182518
0.8500000238418579,34,-59.679317474365234,-66.59956359863281,-89.17940521240234,-0.011570826172828674
0.8600000143051147,34,-60.16787338256836,-66.76825714111328,-89.50823211669922,-0.011575089767575264
0.8700000047683716,33,-60.71035385131836,-66.93547058105469,-89.81929016113281,-0.011612589471042156
0.8799999952316284,33,-61.266666412353516,-67.09175872802734,-90.12765502929688,-0.011616953648626804
0.8899999856948853,32,-61.82251739501953,-67.24734497070312,-90.45938110351562,-0.011616953648626804
0.8999999761581421,32,-62.40977096557617,-67.438232421875,-90.8486099243164,-0.01163562759757042
0.9100000262260437,32,-63.011878967285156,-67.63265991210938,-91.25279235839844,-0.011637884192168713
0.9200000166893005,33,-63.62824249267578,-67.82979583740234,-91.66845703125,-0.011656509712338448
0.9300000071525574,34,-64.26282501220703,-68.04283142089844,-92.0756607055664,-0.01165881659835577
0.9399999976158142,34,-64.91401672363281,-68.26376342773438,-92.47799682617188,-0.01165881659835577
0.949999988079071,34,-65.57735443115234,-68.47113800048828,-92.89190673828125,-0.011658817529678345
0.9599999785423279,34,-66.26497650146484,-68.66203308105469,-93.28486633300781,-0.011658817529678345
0.9700000286102295,34,-66.97740936279297,-68.8853759765625,-93.75591278076172,-0.01165881659835577
0.9800000190734863,34,-67.68133544921875,-69.12577819824219,-94.16588592529297,-0.011658817529678345
0.9900000095367432,33,-68.38597869873047,-69.35628509521484,-94.5638198852539,-0.011658817529678345
1,32,-69.10603332519531,-69.55874633789062,-95.03195190429688,-0.011658817529678345
1.0099999904632568,33,-69.81966400146484,-69.76730346679688,-95.52596282958984,-0.011658817529678345
1.0199999809265137,33,-70.5433578491211,-69.9726791381836,-96.06729888916016,-0.01164044439792633
1.0299999713897705,30,-71.2631607055664,-70.1729736328125,-96.54850006103516,-0.011637886986136436
1.0399999618530273,30,-71.98049926757812,-70.38175201416016,-97.01887512207031,-0.011637885123491287
1.0499999523162842,32,-72.70012664794922,-70.60445404052734,-97.51204681396484,-0.011637886986136436
1.059999942779541,32,-73.42862701416016,-70.82715606689453,-97.98735809326172,-0.011656158603727818
1.0700000524520874,32,-74.17517852783203,-71.04299926757812,-98.4844741821289,-0.011658817529678345
1.0800000429153442,32,-74.91127014160156,-71.24557495117188,-98.99051666259766,-0.01165881659835577
1.090000033378601,33,-75.6359634399414,-71.44710540771484,-99.46165466308594,-0.01165881659835577
1.100000023841858,33,-76.34925842285156,-71.65310668945312,-99.92438507080078,-0.011658814735710621
1.1100000143051147,33,-77.05143737792969,-71.8608169555664,-100.46196746826172,-0.011676963418722153
1.1200000047683716,33,-77.74649047851562,-72.04816436767578,-100.96720886230469,-0.011679747141897678
1.1299999952316284,34,-78.44452667236328,-72.25834655761719,-101.50566864013672,-0.011679747141897678
1.1399999856948853,29,-79.13261413574219,-72.46991729736328,-102.05423736572266,-0.011679748073220253
1.149999976158142,34,-79.8115234375,-72.66883850097656,-102.58395385742188,-0.011661700904369354
1.159999966621399,28,-80.48758697509766,-72.846435546875,-103.07705688476562,-0.011676839552819729
1.1699999570846558,31,-81.16033172607422,-73.0019760131836,-103.59352111816406,-0.011661750264465809
1.1799999475479126,34,-81.79402160644531,-73.18537139892578,-104.10671997070312,-0.01169476006180048
1.190000057220459,30,-82.44126892089844,-73.35909271240234,-104.63388061523438,-0.011718626134097576
1.2000000476837158,34,-83.1021957397461,-73.5223388671875,-105.1659927368164,-0.01173953153192997
1.2100000381469727,34,-83.77013397216797,-73.68141174316406,-105.70030212402344,-0.011760437861084938
1.2200000286102295,34,-84.45030975341797,-73.84048461914062,-106.26542663574219,-0.011781344190239906
1.2300000190734863,34,-85.1410140991211,-73.99288940429688,-106.823486328125,-0.011802250519394875
1.2400000095367432,34,-85.82440948486328,-74.14237976074219,-107.36250305175781,-0.011823157779872417
1.25,34,-86.5116958618164,-74.29761505126953,-107.92257690429688,-0.011844063177704811
1.2599999904632568,31,-87.20947265625,-74.46368408203125,-108.52308654785156,-0.011864970438182354
1.2699999809265137,35,-87.91575622558594,-74.64009094238281,-109.15109252929688,-0.011885876767337322
1.2799999713897705,35,-88.62938690185547,-74.78855895996094,-109.71995544433594,-0.01190678309649229
1.2899999618530273,36,-89.37777709960938,-74.93978118896484,-110.3792495727539,-0.011927688494324684
1.2999999523162842,36,-90.15225982666016,-75.10530853271484,-111.05390930175781,-0.011948594823479652
1.309999942779541,36,-90.93905639648438,-75.28316497802734,-111.72359466552734,-0.011951854452490807
1.3200000524520874,32,-91.72600555419922,-75.46430969238281,-112.40160369873047,-0.011969476006925106
1.3300000429153442,36,-92.54370880126953,-75.65519714355469,-113.08647918701172,-0.01197278592735529
1.340000033378601,36,-93.36456298828125,-75.8550796508789,-113.83482360839844,-0.01197278592735529
1.350000023841858,33,-94.17683410644531,-76.0413589477539,-114.55773162841797,-0.01197278592735529
1.3600000143051147,36,-94.9862289428711,-76.2194595336914,-115.27188873291016,-0.011972787790000439
1.3700000047683716,37,-95.79743957519531,-76.40080261230469,-116.01306915283203,-0.011955291964113712
1.3799999952316284,37,-96.59284210205078,-76.5881576538086,-116.77655792236328,-0.011969326995313168
1.3899999856948853,37,-97.41548919677734,-76.781982421875,-117.56060791015625,-0.011990233324468136
1.399999976158142,37,-98.27871704101562,-76.97399139404297,-118.42583465576172,-0.01201113872230053
1.409999966621399,38,-99.14620208740234,-77.15851593017578,-119.28057861328125,-0.01201464980840683
1.4199999570846558,38,-99.99008178710938,-77.33372497558594,-120.07774353027344,-0.01201464980840683
1.4299999475479126,38,-100.80778503417969,-77.50341033935547,-120.87490844726562,-0.011997304856777191
1.440000057220459,35,-101.60717010498047,-77.66960144042969,-121.6757583618164,-0.011993719264864922
1.4500000476837158,35,-102.43981170654297,-77.83042907714844,-122.44852447509766,-0.011993719264864922
1.4600000381469727,38,-103.27389526367188,-77.99501037597656,-123.22948455810547,-0.011993718333542347
1.4700000286102295,38,-104.10115814208984,-78.16266632080078,-124.0362777709961,-0.011993718333542347
1.4800000190734863,39,-104.93292999267578,-78.32452392578125,-124.86492919921875,-0.011993718333542347
