Time (s),Force (N),Displacement (m)
33.70999908,-2.303475857,0.1715120226
33.72000122,-2.298834085,0.171312049
33.72999954,-2.293784142,0.1711120903
33.74000168,-2.288214445,0.1709121168
33.75,-2.283572912,0.1707121432
33.75999832,-2.278410673,0.1705121845
33.77000046,-2.275104761,0.1702244282
33.77999878,-2.271504879,0.1698244959
33.79000092,-2.267270565,0.1695122868
33.79999924,-2.263557196,0.1693123281
33.81000137,-2.259844065,0.1690247059
33.81999969,-2.256537437,0.1687123775
33.83000183,-2.255609274,0.168512404
33.84000015,-2.253752708,0.1682248861
33.84999847,-2.250561237,0.1678249538
33.86000061,-2.246848106,0.1675125211
33.86999893,-2.241394281,0.1672250926
33.88000107,-2.237042189,0.1668251604
33.88999939,-2.233851194,0.1665126085
33.90000153,-2.230137825,0.1662252843
33.90999985,-2.226830006,0.1658253521
33.91999817,-2.225496769,0.1655127108
33.93000031,-2.219521523,0.1653127521
33.93999863,-2.215284824,0.165025562
33.95000076,-2.211571455,0.1647128016
33.95999908,-2.207453489,0.164512828
33.97000122,-2.204025507,0.1642257571
33.97999954,-2.204025507,0.1638258249
33.99000168,-2.202288628,0.1635129452
34,-2.198575258,0.1632259488
34.00999832,-2.19619441,0.1628260165
34.02000046,-2.192601919,0.1625130326
34.02999878,-2.186103582,0.1622261405
34.04000092,-2.181865454,0.1618262231
34.04999924,-2.178152084,0.1615131497
34.06000137,-2.174035788,0.1613131911
34.06999969,-2.168868542,0.1610264331
34.08000183,-2.164752483,0.1607132554
34.09000015,-2.159585238,0.1605132818
34.09999847,-2.155469418,0.1602266133
34.11000061,-2.150301933,0.159826681
34.11999893,-2.146588564,0.1595133692
34.13000107,-2.144205809,0.1592268199
34.13999939,-2.141018867,0.1588268876
34.15000153,-2.137305498,0.1584269404
34.15999985,-2.133592129,0.1580270082
34.16999817,-2.129878759,0.1576270759
34.18000031,-2.12576437,0.1573135704
34.18999863,-2.120595455,0.1570272148
34.20000076,-2.116481304,0.1567136496
34.20999908,-2.110911369,0.1564273536
34.22000122,-2.105341434,0.1560274065
34.22999954,-2.0997715,0.1556274742
34.24000168,-2.094601631,0.15531376
34.25,-2.0908885,0.1551138014
34.25999832,-2.086775064,0.1549138427
34.27000046,-2.081604958,0.1547138691
34.27999878,-2.077492237,0.1545139104
34.29000092,-2.070993662,0.1542278826
34.29999924,-2.065423489,0.1538279504
34.31000137,-2.059853792,0.1534280181
34.31999969,-2.053884745,0.1530280709
34.33000183,-2.046458006,0.1525422186
34.34000015,-2.040757418,0.1520282179
34.34999847,-2.03571701,0.1515424252
34.36000061,-2.030147076,0.1510283351
34.36999893,-2.026302338,0.1506284028
34.38000107,-2.024047613,0.1502284706
34.38999939,-2.019007683,0.1498285532
34.40000153,-2.014764309,0.149428606
34.40999985,-2.009724617,0.1490286589
34.41999817,-2.005480766,0.1485431045
34.43000031,-2.000441551,0.1480288059
34.43999863,-1.994474292,0.147543326
34.45000076,-1.988770485,0.1470289528
34.45999908,-1.98293817,0.1466290206
34.47000122,-1.975376725,0.1462290734
34.47999954,-1.968878388,0.1457437128
34.49000168,-1.964236975,0.1452292204
34.5,-1.957342148,0.1447439194
34.50999832,-1.951240182,0.1441440135
34.52000046,-1.94606626,0.1435441077
34.52999878,-1.940632701,0.1430294812
34.54000092,-1.933601737,0.142629534
34.54999924,-1.928960323,0.1422296017
34.56000137,-1.922066569,0.1417444944
34.56999969,-1.915035248,0.1412297338
34.58000183,-1.910393715,0.140744701
34.59000015,-1.903500319,0.1400597394
34.59999847,-1.897791743,0.1393449157
34.61000061,-1.892360687,0.1388300061
34.61999893,-1.884539723,0.1383451223
34.63000107,-1.875650883,0.1377452165
34.63999939,-1.868224263,0.1372302026
34.65000153,-1.859869123,0.1367454082
34.65999985,-1.852977276,0.1361455023
34.66999817,-1.844087481,0.135630399
34.68000031,-1.836660862,0.1352304667
34.68999863,-1.829627752,0.1348305345
34.70000076,-1.823664665,0.1344306022
34.70999908,-1.817952633,0.1339460164
34.72000122,-1.81384635,0.1333461106
34.72999954,-1.806955218,0.1327462047
34.74000168,-1.79952848,0.1321462989
34.75,-1.793422937,0.1315464079
34.75999832,-1.787852883,0.1310310066
34.77000046,-1.782675147,0.1305465996
34.77999878,-1.778961897,0.1300311238
34.79000092,-1.774856687,0.1295468062
34.79999924,-1.769286752,0.1289469153
34.81000137,-1.763716817,0.1283469945
34.81999969,-1.756826997,0.1278313845
34.83000183,-1.747689605,0.1273471862
34.84000015,-1.738260269,0.1268315315
34.84999847,-1.73083365,0.1264315993
34.86000061,-1.7247262,0.1260316521
34.86999893,-1.718618393,0.1255475879
34.88000107,-1.715443134,0.1250317991
34.88999939,-1.709873199,0.1245478019
34.90000153,-1.704303265,0.1240319386
34.90999985,-1.699123263,0.1236319989
34.91999817,-1.693701863,0.1232320666
34.93000031,-1.687593341,0.1228321344
34.93999863,-1.682023406,0.1224322021
34.95000076,-1.675135612,0.1220322624
34.95999908,-1.667708993,0.1215485036
34.97000122,-1.661988974,0.1210323945
34.97999954,-1.656569481,0.1205486953
34.99000168,-1.649531603,0.1200325266
35,-1.645278692,0.1196325943
35.00999832,-1.641177058,0.119232662
35.02000046,-1.634678483,0.1188327223
35.02999878,-1.630037069,0.1184327975
35.04000092,-1.624855042,0.1180328652
35.04999924,-1.619437695,0.117632933
35.06000137,-1.612398863,0.1172330007
35.06999969,-1.60775733,0.1168330684
35.08000183,-1.602187276,0.1164331213
35.09000015,-1.595688939,0.116033189
35.09999847,-1.591821551,0.1156332642
35.11000061,-1.589578152,0.1152333245
35.11999893,-1.587180018,0.1148333922
35.13000107,-1.584008336,0.1145167351
35.13999939,-1.580294967,0.1142335311
35.15000153,-1.576581717,0.1138335913
35.15999985,-1.571167707,0.1134336591
35.16999817,-1.565441489,0.1130337268
35.18000031,-1.560413957,0.1125506908
35.18999863,-1.55445838,0.1120338589
35.20000076,-1.547417402,0.1116339192
35.20999908,-1.543161273,0.1113169938
35.22000122,-1.538519502,0.111034058
35.22999954,-1.534421206,0.1107170731
35.24000168,-1.529779792,0.1104342043
35.25,-1.524209738,0.1100342646
35.25999832,-1.51940906,0.1095514894
35.27000046,-1.515855074,0.1090343967
35.27999878,-1.511213541,0.1085516885
35.29000092,-1.507340312,0.1080345213
35.29999924,-1.504171133,0.1076345891
35.31000137,-1.499145627,0.1072346568
35.31999969,-1.494504213,0.1068347171
35.33000183,-1.490246296,0.1064347923
35.34000015,-1.484292507,0.1060348526
35.34999847,-1.478722692,0.1056349203
35.36000061,-1.474081159,0.105234988
35.36999893,-1.468511224,0.1047525853
35.38000107,-1.462941408,0.1042351201
35.38999939,-1.455677748,0.1038351804
35.40000153,-1.446776986,0.1033528745
35.40999985,-1.441043258,0.1028353199
35.41999817,-1.436947942,0.1024353877
35.43000031,-1.431759953,0.1020354554
35.43999863,-1.429356933,0.1015532836
35.45000076,-1.42580843,0.1009533778
35.45999908,-1.418928623,0.1003534719
35.47000122,-1.411502004,0.09983572364
35.47999954,-1.404075384,0.09935367852
35.49000168,-1.396267772,0.09883584827
35.5,-1.387365341,0.09843591601
35.50999832,-1.379938841,0.09803598374
35.52000046,-1.374201775,0.09755407274
35.52999878,-1.36879921,0.09703610837
35.54000092,-1.364370227,0.09655427188
35.54999924,-1.361204982,0.09603624791
35.56000137,-1.358800173,0.09563631564
35.56999969,-1.354327083,0.09531819075
35.58000183,-1.34968555,0.0950364545
35.59000015,-1.344495177,0.09471826255
35.59999847,-1.340402603,0.0944365859
35.61000061,-1.333904147,0.09403664619
35.61999893,-1.329641581,0.09355507046
35.63000107,-1.325549364,0.09303678572
35.63999939,-1.319050908,0.09263685346
35.65000153,-1.316094995,0.09223691374
35.65999985,-1.312931418,0.09183698148
35.66999817,-1.308839917,0.09151852131
35.68000031,-1.303648114,0.09123711288
35.68999863,-1.298628449,0.09083718061
35.70000076,-1.294364691,0.09043724835
35.70999908,-1.289345384,0.09003730863
35.72000122,-1.286387324,0.08955606818
35.72999954,-1.283224821,0.08895616978
35.74000168,-1.276900291,0.08835627884
35.75,-1.270779133,0.08783759177
35.75999832,-1.264832377,0.08735647798
35.77000046,-1.258710861,0.08683770895
35.77999878,-1.252212524,0.08643777668
35.79000092,-1.244961262,0.08603785187
35.79999924,-1.236982703,0.08555687219
35.81000137,-1.229556203,0.08495696634
35.81999969,-1.223433971,0.08435707539
35.83000183,-1.216935515,0.08375716954
35.84000015,-1.212669611,0.0831572637
35.84999847,-1.20765245,0.0825573653
35.86000061,-1.201707244,0.08203831315
35.86999893,-1.19595933,0.08155757189
35.88000107,-1.190942645,0.08095767349
35.88999939,-1.183694482,0.08035776764
35.90000153,-1.174785852,0.07983857393
35.90999985,-1.168287754,0.07935796678
35.91999817,-1.161235571,0.07875806838
35.93000031,-1.154362917,0.07823877782
35.93999863,-1.149541378,0.07775826752
35.95000076,-1.144525766,0.07715836912
35.95999908,-1.139884233,0.07655846328
35.97000122,-1.133385777,0.0760390386
35.97999954,-1.127815843,0.07555866241
35.99000168,-1.121872663,0.07503917813
36,-1.114072919,0.07455886155
36.00999832,-1.105162621,0.07403931022
36.02000046,-1.098108888,0.07355906814
36.02999878,-1.092166185,0.0730394423
36.04000092,-1.086040616,0.07255925983
36.04999924,-1.081215501,0.07203957438
36.06000137,-1.078986526,0.07155945897
36.06999969,-1.07360065,0.07103970647
36.08000183,-1.067474484,0.07055965811
36.09000015,-1.062276244,0.070039846
36.09999847,-1.055591106,0.06963990629
36.11000061,-1.047979355,0.06923997402
36.11999893,-1.043709159,0.06884004176
36.13000107,-1.039995909,0.06852005422
36.13999939,-1.036282539,0.06824017316
36.15000153,-1.033868551,0.0678402409
36.15999985,-1.030712724,0.06752014905
36.16999817,-1.026999474,0.06732018292
36.18000031,-1.02291584,0.06704043597
36.18999863,-1.017345905,0.06672026217
36.20000076,-1.012145996,0.06652029604
36.20999908,-1.009731054,0.06632032245
36.22000122,-1.005277991,0.06604070216
36.22999954,-1.002673745,0.0657203868
36.24000168,-1.002304316,0.06552042067
36.25,-1.000078321,0.06532044709
36.25999832,-0.9958058,0.06504096836
36.27000046,-0.9935801029,0.06472051889
36.27999878,-0.9898668528,0.06452055275
36.29000092,-0.9874507189,0.06424117088
36.29999924,-0.9855940938,0.06384123117
36.31000137,-0.9837374091,0.06352064759
36.31999969,-0.9818807244,0.06332068145
36.33000183,-0.9787275791,0.06312071532
36.34000015,-0.9737178683,0.06300000101
36.34999847,-0.9703726172,0.06292078644
36.36000061,-0.9666593671,0.06272082031
36.36999893,-0.9620175362,0.06252085418
36.38000107,-0.9586715102,0.06224177033
36.38999939,-0.9564477801,0.06184183434
