Time (s),Force (N),Displacement (m)
32.34000015,-2.655658484,0.2019999921
32.34999847,-2.658443451,0.2019999921
32.36000061,-2.658942223,0.2020924687
32.36999893,-2.660300016,0.2022924423
32.38000107,-2.660799265,0.202492401
32.38999939,-2.660799265,0.2026923746
32.40000153,-2.660799265,0.2028923333
32.40999985,-2.662156105,0.2029999942
32.41999817,-2.664013147,0.2029999942
32.43000031,-2.666297913,0.2030922472
32.43999863,-2.670011282,0.2032922059
32.45000076,-2.67329669,0.2034921646
32.45999908,-2.675153494,0.2036921531
32.47000122,-2.675653934,0.2038921118
32.47999954,-2.675653934,0.2039999962
32.49000168,-2.675653934,0.2039999962
32.5,-2.675226927,0.2039999962
32.50999832,-2.673797131,0.2039999962
32.52000046,-2.673797131,0.2039999962
32.52999878,-2.673797131,0.2039999962
32.54000092,-2.673797131,0.2039999962
32.54999924,-2.673797131,0.2039999962
32.56000137,-2.673797131,0.2039999962
32.56999969,-2.673797131,0.2039999962
32.58000183,-2.673797131,0.2039999962
32.59000015,-2.673797131,0.2039999962
32.59999847,-2.673797131,0.2039999962
32.61000061,-2.673797131,0.203908354
32.61999893,-2.67244339,0.2037083954
32.63000107,-2.671940565,0.2035084218
32.63999939,-2.670161724,0.2033084482
32.65000153,-2.667801619,0.2031084895
32.65999985,-2.665016413,0.2029085159
32.66999817,-2.662735224,0.2027085572
32.68000031,-2.659022093,0.2025085837
32.68999863,-2.656237125,0.202308625
32.70000076,-2.653372049,0.2020173222
32.70999908,-2.653372049,0.2017087042
32.72000122,-2.651596069,0.2015087157
32.72999954,-2.64923501,0.2013087422
32.74000168,-2.647378445,0.2011087835
32.75,-2.643746376,0.2009088248
32.75999832,-2.637671232,0.2007088512
32.77000046,-2.634886503,0.2005088925
32.77999878,-2.631172895,0.2002178431
32.79000092,-2.627459764,0.1998179108
32.79999924,-2.625097275,0.1995089948
32.81000137,-2.620539188,0.1992180347
32.81999969,-2.616319895,0.1988181174
32.83000183,-2.612606764,0.1985090971
32.84000015,-2.608893394,0.1982182562
32.84999847,-2.606951952,0.197818324
32.86000061,-2.605180264,0.1975091994
32.86999893,-2.601466894,0.1973092258
32.88000107,-2.597753525,0.197018519
32.88999939,-2.592690706,0.1967092901
32.90000153,-2.588891268,0.1965093017
32.90999985,-2.588383675,0.1962186992
32.91999817,-2.586613894,0.195818767
32.93000031,-2.582901001,0.1955094188
32.93999863,-2.577418089,0.1952189058
32.95000076,-2.569991589,0.1948189735
32.95999908,-2.562984943,0.1944190413
32.97000122,-2.558343649,0.194019109
32.97999954,-2.554541588,0.1936191767
32.99000168,-2.552685022,0.1933096349
33,-2.549480677,0.1930193156
33.00999832,-2.545767307,0.1926193684
33.02000046,-2.54340148,0.1922194362
33.02999878,-2.539778471,0.1917292476
33.04000092,-2.534627199,0.1911293566
33.04999924,-2.53091383,0.1906196326
33.06000137,-2.527200699,0.1903098524
33.06999969,-2.522558928,0.1900197715
33.08000183,-2.521120787,0.1897099167
33.09000015,-2.517917633,0.1894199103
33.09999847,-2.514204502,0.189019978
33.11000061,-2.510908842,0.1886200458
33.11999893,-2.508217096,0.1883100569
33.13000107,-2.503481627,0.1881100982
33.13999939,-2.501207829,0.1879101247
33.15000153,-2.497494459,0.1877101511
33.15999985,-2.493781328,0.1875101626
33.16999817,-2.491829872,0.1873102039
33.18000031,-2.490484953,0.1870204806
33.18999863,-2.488628387,0.1867102832
33.20000076,-2.486771584,0.1865103096
33.20999908,-2.484498978,0.1863103509
33.22000122,-2.481201649,0.1860207617
33.22999954,-2.480689049,0.1857104301
33.24000168,-2.479345322,0.1855104566
33.25,-2.47572875,0.185310483
33.25999832,-2.473262072,0.1851105243
33.27000046,-2.469743967,0.1849105507
33.27999878,-2.464076042,0.184710592
33.29000092,-2.46077776,0.1845106184
33.29999924,-2.459849596,0.1843106598
33.31000137,-2.45706439,0.1841106862
33.31999969,-2.456136227,0.1839107275
33.33000183,-2.452937126,0.1837107539
33.34000015,-2.449223757,0.1835107952
33.34999847,-2.445510387,0.1833108217
33.36000061,-2.440454721,0.1830217093
33.36999893,-2.437983036,0.182710886
33.38000107,-2.436227083,0.1825109124
33.38999939,-2.432513714,0.1822218895
33.40000153,-2.429213762,0.1818219572
33.40999985,-2.426530838,0.1815110147
33.41999817,-2.421374083,0.1812220961
33.43000031,-2.419002056,0.1808221638
33.43999863,-2.415804148,0.180511117
33.45000076,-2.410749912,0.1803111583
33.45999908,-2.406108379,0.1800223738
33.47000122,-2.400538445,0.1797112226
33.47999954,-2.395380497,0.179511264
33.49000168,-2.391667128,0.1792225689
33.5,-2.387953997,0.1788226217
33.50999832,-2.384240627,0.1785113364
33.52000046,-2.380527496,0.1782227606
33.52999878,-2.376814127,0.1778228134
33.54000092,-2.374029398,0.1775114387
33.54999924,-2.369387388,0.1772229522
33.56000137,-2.365674019,0.1768230349
33.56999969,-2.361960888,0.1765115559
33.58000183,-2.358247519,0.1763115823
33.59000015,-2.355873108,0.17602323
33.59999847,-2.352678061,0.1757116467
33.61000061,-2.348554611,0.1754233688
33.61999893,-2.342056036,0.1750234365
33.63000107,-2.337414742,0.1745352447
33.63999939,-2.332253933,0.1740235537
33.65000153,-2.328540802,0.1735354215
33.65999985,-2.326165199,0.1730236709
33.66999817,-2.322561979,0.1726237535
33.68000031,-2.317400932,0.172311902
33.68999863,-2.313687801,0.1720238924
33.70000076,-2.308228731,0.1717119813
