Time (s),Ay (m/s²)
11.86999989,-8.805511475
11.88000011,-8.893414497
11.89000034,-8.970535278
11.89999962,-9.039403915
11.90999985,-9.098110199
11.92000008,-9.168306351
11.93000031,-9.229804993
11.93999958,-9.292527199
11.94999981,-9.348741531
11.96000004,-9.371609688
11.97000027,-9.39292717
11.97999954,-9.423247337
11.98999977,-9.416144371
12,-9.379481316
12.01000023,-9.331769943
12.02000046,-9.273637772
12.02999973,-9.204877853
12.03999996,-9.153962135
12.05000019,-9.124444962
12.06000042,-9.102502823
12.06999969,-9.052205086
12.07999992,-9.004426003
12.09000015,-8.95570755
12.10000038,-8.895421982
12.10999966,-8.837669373
12.11999989,-8.792509079
12.13000011,-8.73557663
12.14000034,-8.67898941
12.14999962,-8.600934982
12.15999985,-8.505563736
12.17000008,-8.402639389
12.18000031,-8.297692299
12.18999958,-8.211157799
12.19999981,-8.145774841
12.21000004,-8.061769485
12.22000027,-7.975783348
12.22999954,-7.894329071
12.23999977,-7.803153038
12.25,-7.716911316
12.26000023,-7.655905724
12.27000046,-7.613973618
12.27999973,-7.524739742
12.28999996,-7.460856915
12.30000019,-7.40223217
12.31000042,-7.336503029
12.31999969,-7.290366173
12.32999992,-7.256633759
12.34000015,-7.213754654
12.35000038,-7.179749012
12.35999966,-7.145441055
12.36999989,-7.121663094
12.38000011,-7.111326694
12.39000034,-7.109605312
12.39999962,-7.130033016
12.40999985,-7.167607784
12.42000008,-7.215969086
12.43000031,-7.256717682
12.43999958,-7.292602539
12.44999981,-7.31717205
12.46000004,-7.343285561
12.47000027,-7.387490273
12.47999954,-7.43859148
12.48999977,-7.484296799
12.5,-7.526295662
12.51000023,-7.559906006
12.52000046,-7.596072197
12.52999973,-7.645028591
12.53999996,-7.705606461
12.55000019,-7.76405859
12.56000042,-7.838479996
12.56999969,-7.908623219
12.57999992,-7.963866711
12.59000015,-8.039338112
12.60000038,-8.106798172
12.60999966,-8.172016144
12.61999989,-8.249469757
12.63000011,-8.314582825
12.64000034,-8.365460396
12.64999962,-8.410863876
12.65999985,-8.450596809
12.67000008,-8.505272865
12.68000031,-8.571140289
12.68999958,-8.623214722
12.69999981,-8.675585747
12.71000004,-8.730238914
12.72000027,-8.768226624
12.72999954,-8.791989326
12.73999977,-8.851399422
12.75,-8.888706207
12.76000023,-8.894639969
12.77000046,-8.923204422
12.77999973,-8.928873062
12.78999996,-8.923112869
12.80000019,-8.909459114
12.81000042,-8.876540184
12.81999969,-8.835471153
12.82999992,-8.786366463
12.84000015,-8.743606567
12.85000038,-8.719097137
12.85999966,-8.685383797
12.86999989,-8.654891014
12.88000011,-8.626285553
12.89000034,-8.602867126
12.89999962,-8.572758675
12.90999985,-8.544336319
12.92000008,-8.50417614
12.93000031,-8.459544182
12.93999958,-8.406845093
12.94999981,-8.37509346
12.96000004,-8.341690063
12.97000027,-8.311463356
12.97999954,-8.26805687
12.98999977,-8.228796005
13,-8.175387383
13.01000023,-8.126581192
13.02000046,-8.079079628
13.02999973,-8.041678429
13.03999996,-7.978422642
13.05000019,-7.925485611
13.06000042,-7.883938789
13.06999969,-7.842166901
13.07999992,-7.814558983
13.09000015,-7.784060955
13.10000038,-7.751370907
13.10999966,-7.719456196
13.11999989,-7.669847965
13.13000011,-7.634482384
13.14000034,-7.613144398
13.14999962,-7.589466572
13.15999985,-7.577723503
13.17000008,-7.581433773
13.18000031,-7.586017609
13.18999958,-7.594505787
13.19999981,-7.611656189
13.21000004,-7.653544426
13.22000027,-7.699679375
13.22999954,-7.734021664
13.23999977,-7.770255566
13.25,-7.789827347
13.26000023,-7.799024582
13.27000046,-7.805109978
13.27999973,-7.807081699
13.28999996,-7.82947588
13.30000019,-7.855449677
13.31000042,-7.86981678
13.31999969,-7.899764538
13.32999992,-7.951606274
13.34000015,-7.985874653
13.35000038,-8.024227142
13.35999966,-8.051657677
13.36999989,-8.079640388
13.38000011,-8.083422661
13.39000034,-8.088943481
13.39999962,-8.113806725
13.40999985,-8.149805069
13.42000008,-8.184199333
13.43000031,-8.220331192
13.43999958,-8.257460594
13.44999981,-8.282089233
13.46000004,-8.306461334
13.47000027,-8.328302383
13.47999954,-8.343527794
13.48999977,-8.35332489
13.5,-8.383197784
13.51000023,-8.404503822
13.52000046,-8.424703598
13.52999973,-8.450361252
13.53999996,-8.466133118
13.55000019,-8.461539268
13.56000042,-8.466741562
13.56999969,-8.475406647
13.57999992,-8.471553802
13.59000015,-8.462313652
13.60000038,-8.458515167
13.60999966,-8.448643684
13.61999989,-8.421209335
13.63000011,-8.384874344
13.64000034,-8.349486351
13.64999962,-8.319732666
13.65999985,-8.293403625
13.67000008,-8.284468651
13.68000031,-8.282984734
13.68999958,-8.279296875
13.69999981,-8.274330139
13.71000004,-8.274148941
13.72000027,-8.268984795
13.72999954,-8.263319969
13.73999977,-8.246342659
13.75,-8.220797539
13.76000023,-8.204363823
13.77000046,-8.194168091
13.77999973,-8.186431885
13.78999996,-8.195658684
13.80000019,-8.206448555
13.81000042,-8.201441765
13.81999969,-8.18187809
13.82999992,-8.160577774
13.84000015,-8.140972137
13.85000038,-8.126877785
13.85999966,-8.115068436
13.86999989,-8.10200119
13.88000011,-8.09428215
13.89000034,-8.079435349
13.89999962,-8.043604851
13.90999985,-8.011911392
13.92000008,-7.988858223
13.93000031,-7.971772671
13.93999958,-7.975885868
13.94999981,-8.002954483
13.96000004,-8.02534771
13.97000027,-8.040420532
13.97999954,-8.045895576
13.98999977,-8.050515175
14,-8.064157486
14.01000023,-8.080601692
14.02000046,-8.099551201
14.02999973,-8.121938705
14.03999996,-8.147961617
14.05000019,-8.166138649
14.06000042,-8.178986549
14.06999969,-8.185804367
14.07999992,-8.189303398
14.09000015,-8.189969063
14.10000038,-8.184782028
14.10999966,-8.180944443
14.11999989,-8.180412292
14.13000011,-8.177859306
14.14000034,-8.174940109
14.14999962,-8.175644875
14.15999985,-8.176038742
14.17000008,-8.174098969
14.18000031,-8.169892311
14.18999958,-8.169383049
14.19999981,-8.168229103
14.21000004,-8.164353371
14.22000027,-8.161790848
14.22999954,-8.161220551
14.23999977,-8.162900925
14.25,-8.167798042
14.26000023,-8.17634201
14.27000046,-8.192873001
14.27999973,-8.208426476
14.28999996,-8.217166901
14.30000019,-8.225784302
14.31000042,-8.227671623
14.31999969,-8.221703529
14.32999992,-8.207597733
14.34000015,-8.190523148
14.35000038,-8.169086456
14.35999966,-8.147121429
14.36999989,-8.138853073
14.38000011,-8.141052246
14.39000034,-8.154742241
14.39999962,-8.173540115
14.40999985,-8.189167976
14.42000008,-8.200690269
14.43000031,-8.197349548
14.43999958,-8.18401432
14.44999981,-8.168642044
14.46000004,-8.152506828
14.47000027,-8.141017914
14.47999954,-8.143575668
14.48999977,-8.15262413
14.5,-8.164855957
14.51000023,-8.176498413
14.52000046,-8.185688019
14.52999973,-8.185254097
14.53999996,-8.180580139
14.55000019,-8.174990654
14.56000042,-8.170989037
14.56999969,-8.166137695
14.57999992,-8.167943954
14.59000015,-8.173153877
14.60000038,-8.180056572
