Time (s),Force (N),Displacement (m)
54.02999878,-3.155066729,0.2425385863
54.04000092,-3.144021749,0.2419387102
54.04999924,-3.134643555,0.2413183898
54.06000137,-3.124621391,0.2405185401
54.06999969,-3.116172075,0.2397186607
54.08000183,-3.107911587,0.2389187962
54.09000015,-3.099462509,0.2381189167
54.09999847,-3.091201782,0.2373190373
54.11000061,-3.083775282,0.2365191877
54.11999893,-3.076348543,0.2357193232
54.13000107,-3.067899942,0.2349194735
54.13999939,-3.058523655,0.2341195941
54.15000153,-3.047383547,0.2333197296
54.15999985,-3.036243677,0.2325198501
54.16999817,-3.024082422,0.2317199856
54.18000031,-3.011178493,0.2309001386
54.18999863,-3.000874519,0.2299003005
54.20000076,-2.986949682,0.2289004773
54.20999908,-2.975065708,0.2279006541
54.22000122,-2.965782642,0.226900816
54.22999954,-2.955387115,0.2259009778
54.24000168,-2.944431067,0.2249011397
54.25,-2.933015823,0.2239013165
54.25999832,-2.918254137,0.2229014784
54.27000046,-2.905257702,0.2219016403
54.27999878,-2.892170191,0.2208821774
54.29000092,-2.878427267,0.2197019756
54.29999924,-2.86719656,0.2186825722
54.31000137,-2.853271484,0.2174827904
54.31999969,-2.84018445,0.2162829638
54.33000183,-2.825331211,0.2151026279
54.34000015,-2.811496496,0.2140833586
54.34999847,-2.798590422,0.212902993
54.36000061,-2.786432266,0.2119031549
54.36999893,-2.77445364,0.2109033167
54.38000107,-2.762206078,0.2099034637
54.38999939,-2.748460054,0.2089036256
54.40000153,-2.736302614,0.2079037875
54.40999985,-2.723305941,0.2069039643
54.41999817,-2.711326838,0.2059041411
54.43000031,-2.700186968,0.204904303
54.43999863,-2.688030005,0.2039044648
54.45000076,-2.675033569,0.2029046267
54.45999908,-2.662965775,0.2019047886
54.47000122,-2.650057077,0.2009049654
54.47999954,-2.637900829,0.1999051422
54.49000168,-2.625920773,0.1989242435
54.5,-2.614780903,0.1981054842
54.50999832,-2.603728294,0.1971245259
54.52000046,-2.594445229,0.1963246465
54.52999878,-2.585074425,0.1955247819
54.54000092,-2.575037241,0.1947061419
54.54999924,-2.566508293,0.1937250346
54.56000137,-2.554353237,0.1929064542
54.56999969,-2.541356564,0.191906631
54.58000183,-2.529375315,0.1909067929
54.59000015,-2.517220497,0.1899069697
54.59999847,-2.505238533,0.1889071167
54.61000061,-2.494098663,0.1879072934
54.61999893,-2.483973026,0.1869259775
54.63000107,-2.472661495,0.186126098
54.63999939,-2.45966506,0.1853262335
54.65000153,-2.447596788,0.1845263839
54.65999985,-2.435613871,0.1837265044
54.66999817,-2.422532082,0.1829082966
54.68000031,-2.410548925,0.1819084734
54.68999863,-2.399409056,0.1809086353
54.70000076,-2.388184309,0.1799087822
54.70999908,-2.374343872,0.1789089441
54.72000122,-2.364132404,0.1779091209
54.72999954,-2.354005575,0.1769092828
54.74000168,-2.343709469,0.1759094596
54.75,-2.332653522,0.1749096215
54.75999832,-2.322274446,0.1739097834
54.77000046,-2.310206175,0.1729099602
54.77999878,-2.297293186,0.171910122
54.79000092,-2.287165403,0.1709282398
54.79999924,-2.276870012,0.1701283753
54.81000137,-2.265730381,0.1693284959
54.81999969,-2.254507542,0.1685286164
54.83000183,-2.240499735,0.1677287519
